Data,Category_Code,Category_ItemName_ENG,Category_SortOrder,Category_ItemNotes_ENG,Date_Code,Date_ItemName_ENG,Date_SortOrder,Date_ItemNotes_ENG,LHBProvider_Code,LHBProvider_ItemName_ENG,LHBProvider_SortOrder,LHBProvider_ItemNotes_ENG,LHBProvider_AltCode1,Measure_Code,Measure_ItemName_ENG,Measure_SortOrder,Target_Code,Target_ItemName_ENG,Target_SortOrder,RowKey,PartitionKey
18201.0,Minor,Other A&E/Minor Injury Units,2,"Other A&E/Minor Injury Units - defined as all other A&E/casualty/minor injury units which have designated accommodation for the reception of accident and emergency patients and can be routinely accessed without appointment, but which do not meet the criteria for a Major A&E Department.",2016m04,April 2016,119,,Wales,Wales,1,,W92000004,Attendances,Total attendances,1,4hr,4 hour target,1,0000000000000041,
75.2149,Major,Major A&E Departments,1,"Major A&E Departments - defined as a consultant led service with appropriate resuscitation facilities and designated accommodation for the reception of accident and emergency patients.  These departments must provide the resuscitation, assessment and treatment of acute illness and injury in patients of all ages, and services must be available continuously 24 hours a day.",2016m04,April 2016,119,,Wales,Wales,1,,W92000004,Percentages,Percentage of patients who spend less than the target time in A&E,3,4hr,4 hour target,1,0000000000000078,
81344.0,All,All Emergency Care Facilities,3,"Prior to April 2012, Major A&E Departments data was supplied monthly and Other A&E/Minor Injury Units data weekly and converted to monthly, to produce a combined figure for All Hospital Emergency Care Facilities. &#10;&#10;From April 2012, minor injury units/other A&E departments now also supply their data via EDDS on a monthly basis, so the data for major and minors is now taken from the same data source and no conversion is needed. These changes will not affect the major A&E department data and are not expected to have any real impact on the all emergency care facilities data.  However, users should consider the minor impact this will have on the data relating to attendances at other A&E/minor injury units for April 2012 onwards. Please see the quality report for further details.",2016m04,April 2016,119,,Wales,Wales,1,,W92000004,Attendances,Total attendances,1,4hr,4 hour target,1,0000000000000080,
63143.0,Major,Major A&E Departments,1,"Major A&E Departments - defined as a consultant led service with appropriate resuscitation facilities and designated accommodation for the reception of accident and emergency patients.  These departments must provide the resuscitation, assessment and treatment of acute illness and injury in patients of all ages, and services must be available continuously 24 hours a day.",2016m04,April 2016,119,,Wales,Wales,1,,W92000004,Attendances,Total attendances,1,4hr,4 hour target,1,0000000000000083,
98.0385,Minor,Other A&E/Minor Injury Units,2,"Other A&E/Minor Injury Units - defined as all other A&E/casualty/minor injury units which have designated accommodation for the reception of accident and emergency patients and can be routinely accessed without appointment, but which do not meet the criteria for a Major A&E Department.",2016m04,April 2016,119,,Wales,Wales,1,,W92000004,Percentages,Percentage of patients who spend less than the target time in A&E,3,4hr,4 hour target,1,0000000000000087,
17844.0,Minor,Other A&E/Minor Injury Units,2,"Other A&E/Minor Injury Units - defined as all other A&E/casualty/minor injury units which have designated accommodation for the reception of accident and emergency patients and can be routinely accessed without appointment, but which do not meet the criteria for a Major A&E Department.",2016m04,April 2016,119,,Wales,Wales,1,,W92000004,Non-breaches,Attendances where patients spend less than the target time in A&E,2,4hr,4 hour target,1,0000000000000089,
65337.0,All,All Emergency Care Facilities,3,"Prior to April 2012, Major A&E Departments data was supplied monthly and Other A&E/Minor Injury Units data weekly and converted to monthly, to produce a combined figure for All Hospital Emergency Care Facilities. &#10;&#10;From April 2012, minor injury units/other A&E departments now also supply their data via EDDS on a monthly basis, so the data for major and minors is now taken from the same data source and no conversion is needed. These changes will not affect the major A&E department data and are not expected to have any real impact on the all emergency care facilities data.  However, users should consider the minor impact this will have on the data relating to attendances at other A&E/minor injury units for April 2012 onwards. Please see the quality report for further details.",2016m04,April 2016,119,,Wales,Wales,1,,W92000004,Non-breaches,Attendances where patients spend less than the target time in A&E,2,4hr,4 hour target,1,0000000000000185,
80.3218,All,All Emergency Care Facilities,3,"Prior to April 2012, Major A&E Departments data was supplied monthly and Other A&E/Minor Injury Units data weekly and converted to monthly, to produce a combined figure for All Hospital Emergency Care Facilities. &#10;&#10;From April 2012, minor injury units/other A&E departments now also supply their data via EDDS on a monthly basis, so the data for major and minors is now taken from the same data source and no conversion is needed. These changes will not affect the major A&E department data and are not expected to have any real impact on the all emergency care facilities data.  However, users should consider the minor impact this will have on the data relating to attendances at other A&E/minor injury units for April 2012 onwards. Please see the quality report for further details.",2016m04,April 2016,119,,Wales,Wales,1,,W92000004,Percentages,Percentage of patients who spend less than the target time in A&E,3,4hr,4 hour target,1,0000000000000188,
47493.0,Major,Major A&E Departments,1,"Major A&E Departments - defined as a consultant led service with appropriate resuscitation facilities and designated accommodation for the reception of accident and emergency patients.  These departments must provide the resuscitation, assessment and treatment of acute illness and injury in patients of all ages, and services must be available continuously 24 hours a day.",2016m04,April 2016,119,,Wales,Wales,1,,W92000004,Non-breaches,Attendances where patients spend less than the target time in A&E,2,4hr,4 hour target,1,0000000000000193,
20011.0,Minor,Other A&E/Minor Injury Units,2,"Other A&E/Minor Injury Units - defined as all other A&E/casualty/minor injury units which have designated accommodation for the reception of accident and emergency patients and can be routinely accessed without appointment, but which do not meet the criteria for a Major A&E Department.",2016m05,May 2016,120,,Wales,Wales,1,,W92000004,Attendances,Total attendances,1,4hr,4 hour target,1,0000000000000253,
98.5607,Minor,Other A&E/Minor Injury Units,2,"Other A&E/Minor Injury Units - defined as all other A&E/casualty/minor injury units which have designated accommodation for the reception of accident and emergency patients and can be routinely accessed without appointment, but which do not meet the criteria for a Major A&E Department.",2016m05,May 2016,120,,Wales,Wales,1,,W92000004,Percentages,Percentage of patients who spend less than the target time in A&E,3,4hr,4 hour target,1,0000000000000254,
19723.0,Minor,Other A&E/Minor Injury Units,2,"Other A&E/Minor Injury Units - defined as all other A&E/casualty/minor injury units which have designated accommodation for the reception of accident and emergency patients and can be routinely accessed without appointment, but which do not meet the criteria for a Major A&E Department.",2016m05,May 2016,120,,Wales,Wales,1,,W92000004,Non-breaches,Attendances where patients spend less than the target time in A&E,2,4hr,4 hour target,1,0000000000000294,
78.0523,Major,Major A&E Departments,1,"Major A&E Departments - defined as a consultant led service with appropriate resuscitation facilities and designated accommodation for the reception of accident and emergency patients.  These departments must provide the resuscitation, assessment and treatment of acute illness and injury in patients of all ages, and services must be available continuously 24 hours a day.",2016m05,May 2016,120,,Wales,Wales,1,,W92000004,Percentages,Percentage of patients who spend less than the target time in A&E,3,4hr,4 hour target,1,0000000000000297,
90433.0,All,All Emergency Care Facilities,3,"Prior to April 2012, Major A&E Departments data was supplied monthly and Other A&E/Minor Injury Units data weekly and converted to monthly, to produce a combined figure for All Hospital Emergency Care Facilities. &#10;&#10;From April 2012, minor injury units/other A&E departments now also supply their data via EDDS on a monthly basis, so the data for major and minors is now taken from the same data source and no conversion is needed. These changes will not affect the major A&E department data and are not expected to have any real impact on the all emergency care facilities data.  However, users should consider the minor impact this will have on the data relating to attendances at other A&E/minor injury units for April 2012 onwards. Please see the quality report for further details.",2016m05,May 2016,120,,Wales,Wales,1,,W92000004,Attendances,Total attendances,1,4hr,4 hour target,1,0000000000000299,
70422.0,Major,Major A&E Departments,1,"Major A&E Departments - defined as a consultant led service with appropriate resuscitation facilities and designated accommodation for the reception of accident and emergency patients.  These departments must provide the resuscitation, assessment and treatment of acute illness and injury in patients of all ages, and services must be available continuously 24 hours a day.",2016m05,May 2016,120,,Wales,Wales,1,,W92000004,Attendances,Total attendances,1,4hr,4 hour target,1,0000000000000300,
74689.0,All,All Emergency Care Facilities,3,"Prior to April 2012, Major A&E Departments data was supplied monthly and Other A&E/Minor Injury Units data weekly and converted to monthly, to produce a combined figure for All Hospital Emergency Care Facilities. &#10;&#10;From April 2012, minor injury units/other A&E departments now also supply their data via EDDS on a monthly basis, so the data for major and minors is now taken from the same data source and no conversion is needed. These changes will not affect the major A&E department data and are not expected to have any real impact on the all emergency care facilities data.  However, users should consider the minor impact this will have on the data relating to attendances at other A&E/minor injury units for April 2012 onwards. Please see the quality report for further details.",2016m05,May 2016,120,,Wales,Wales,1,,W92000004,Non-breaches,Attendances where patients spend less than the target time in A&E,2,4hr,4 hour target,1,0000000000000397,
